data_extracao;prefixo;operador;placa;marca;modelo;data_primeiro_emplac;ano_fabricacao;combustivel
2022-01-03 02:00:45.997728;4314;VIACAO ESTORIL LTDA;IQB9039;M. BENZ;O-500M                                            ;2009-09-02;2009;DIESEL
2022-01-03 02:00:45.997728;4004;EMPRESA DE TRANSPORTES GASÔMETRO S.A.;IQB7586;M. BENZ;O-500M                                            ;2009-08-29;2009;DIESEL
2022-01-03 02:00:45.997728;6161;AUTO VIACAO NAVEGANTES LTDA;ISL4511;M. BENZ;OF 1722                                           ;2011-11-08;2011;DIESEL
2022-01-03 02:00:45.997728;6154;AUTO VIACAO NAVEGANTES LTDA;IYW2128;M. BENZ;OF 1721                                           ;2018-10-29;2018;DIESEL
2022-01-03 02:00:45.997728;6109;AUTO VIACAO NAVEGANTES LTDA;IRM2295;M. BENZ;OF 1722M                                          ;2010-12-31;2010;DIESEL
2022-01-03 02:00:45.997728;2017;AUTO VIACAO PRESIDENTE VARGAS LTDA;IQE3930;M. BENZ;O-500M                                            ;2009-10-01;2009;DIESEL
2022-01-03 02:00:45.997728;6711;SOCIEDADE DE ONIBUS PORTO ALEGRENSE LTDA;ITR8044;M. BENZ;OF 1721                                           ;2012-11-07;2012;DIESEL
2022-01-03 02:00:45.997728;3083;SUDESTE TRANSPORTES COLETIVOS LTDA;IRB2474;M. BENZ;O-500M                                            ;2010-08-25;2010;DIESEL
2022-01-03 02:00:45.997728;3094;SUDESTE TRANSPORTES COLETIVOS LTDA;IRA6513;M. BENZ;O-500M                                            ;2010-08-14;2010;DIESEL
2022-01-03 02:00:45.997728;3055;SUDESTE TRANSPORTES COLETIVOS LTDA;IPG9371;M. BENZ;OF 1722M                                          ;2008-11-03;2008;DIESEL
2022-01-03 02:00:45.997728;1103;TRANSPORTES COLETIVOS TREVO LTDA;ISM8198;M. BENZ;OF 1722                                           ;2011-11-22;2011;DIESEL
2022-01-03 02:00:45.997728;1215;TRANSPORTES COLETIVOS TREVO LTDA;IPI5773;M. BENZ;OF 1722M                                          ;2008-11-29;2008;DIESEL
2022-01-03 02:00:45.997728;1019;TRANSPORTES COLETIVOS TREVO LTDA;IRJ5366;M. BENZ;OF 1722M                                          ;2010-12-01;2010;DIESEL
2022-01-03 02:00:45.997728;1003;TRANSPORTES COLETIVOS TREVO LTDA;ISM2636;M. BENZ;OF 1722                                           ;2011-11-12;2011;DIESEL
2022-01-03 02:00:45.997728;4425;VIACAO ALTO PETROPOLIS LTDA;IOH4091;M. BENZ;O-500M                                            ;2007-11-29;2007;DIESEL
2022-01-03 02:00:45.997728;4448;VIACAO ALTO PETROPOLIS LTDA;IQY7302;M. BENZ;O-500M                                            ;2010-07-23;2010;DIESEL
2022-01-03 02:00:45.997728;6498;NORTRAN TRANSPORTES COLETIVOS LTDA;IRB9638;M. BENZ;OF 1722M                                          ;2010-09-02;2010;DIESEL
2022-01-03 02:00:45.997728;6489;NORTRAN TRANSPORTES COLETIVOS LTDA;IUP7043;M. BENZ;OF 1721                                           ;2013-08-15;2013;DIESEL
2022-01-03 02:00:45.997728;6449;NORTRAN TRANSPORTES COLETIVOS LTDA;INV7819;M. BENZ;OF 1722M                                          ;2007-05-29;2007;DIESEL
2022-01-03 02:00:45.997728;6499;NORTRAN TRANSPORTES COLETIVOS LTDA;IYW1864;M. BENZ;OF 1721                                           ;2018-10-29;2018;DIESEL
2022-01-03 02:00:45.997728;6484;NORTRAN TRANSPORTES COLETIVOS LTDA;ISR1523;M. BENZ;OF 1722                                           ;2012-01-04;2011;DIESEL
2022-01-03 02:00:45.997728;2354;VIACAO BELEM NOVO LTDA;IRI3727;M. BENZ;OF 1722M                                          ;2010-11-23;2010;DIESEL
2022-01-03 02:00:45.997728;2360;VIACAO BELEM NOVO LTDA;IRI3734;M. BENZ;OF 1722M                                          ;2010-11-23;2010;DIESEL
2022-01-03 02:00:45.997728;2395;VIACAO BELEM NOVO LTDA;IRJ3808;M. BENZ;OF 1722M                                          ;2010-12-02;2010;DIESEL
2022-01-03 02:00:45.997728;2351;VIACAO BELEM NOVO LTDA;IXC1597;M. BENZ;OF 1721                                           ;2016-02-16;2015;DIESEL
2022-01-03 02:00:45.997728;2342;VIACAO BELEM NOVO LTDA;IXB9613;M. BENZ;OF 1721                                           ;2016-02-11;2015;DIESEL
2022-01-03 02:00:45.997728;701;COMPANHIA CARRIS PORTO ALEGRENSE;IQD5802;VOLVO                                             ;B7R                                               ;2009-09-24;2009;DIESEL
2022-01-03 02:00:45.997728;756;COMPANHIA CARRIS PORTO ALEGRENSE;IRA3858;M. BENZ;O500 U                                            ;2010-08-12;2010;DIESEL
2022-01-03 02:00:45.997728;807;COMPANHIA CARRIS PORTO ALEGRENSE;ITQ0895;M. BENZ;O-500M                                            ;2012-10-16;2012;DIESEL
2022-01-03 02:00:45.997728;36;COMPANHIA CARRIS PORTO ALEGRENSE;JAC7I27;M. BENZ;OF 1721L;2020-07-29;2020;DIESEL
2022-01-03 02:00:45.997728;62;COMPANHIA CARRIS PORTO ALEGRENSE;JAC7I37;M. BENZ;OF 1721L;2020-07-29;2020;DIESEL
2022-01-03 02:00:45.997728;2202;VIACAO TERESOPOLIS CAVALHADA LTDA;ISG4306;M. BENZ;OF 1722                                           ;2011-09-06;2011;DIESEL
2022-01-03 02:00:45.997728;2146;VIACAO TERESOPOLIS CAVALHADA LTDA;ITW8186;M. BENZ;O-500M                                            ;2012-12-26;2012;DIESEL
